Utility_Name,0-50 kWh,50-100 kWh,100-150 kWh,150-200 kWh,200-250 kWh,250-300 kWh,300-350 kWh,350-400 kWh,400-450 kWh,450-500 kWh,500+ kWh,EV Tariff Notes,Time-of-Day Tariff Notes,Other
BSES_Rajdhani_Power_Limited,₹3.00,₹3.00,₹3.00,₹3.00,₹8.00,₹8.00,₹8.00,₹8.00,₹8.00,₹8.00,₹8.00,Charging stations for e-rickshaws or e-vehicles on single point delivery are charged at ₹4.50 per kWh for supply at LT (Low Tension) and ₹4.00 per kVAh for supply at HT (High Tension).,Time of Day (ToD) tariffs are applicable to consumers (other than domestic) with a sanctioned load/MDI of 10kW/11kVA and above. It is optional for other three-phase connections including domestic. The ToD tariff includes peak period surcharges and off-peak rebates of 20%.,"For individual connections up to 2 kW, a fixed charge of ₹20 per kW/month applies. For larger connections, the fixed charge increases depending on the load."
North_Bihar_Power_Distribution_Company_Limited,Rs. 7.57/unit,Rs. 8.11/unit,Rs. 8.11/unit,Rs. 8.11/unit,Rs. 8.11/unit,Rs. 8.11/unit,Rs. 8.11/unit,Rs. 8.11/unit,Rs. 8.11/unit,Rs. 8.11/unit,Rs. 8.11/unit,"For LT (Low Tension) Electrical Vehicle charging stations, the rate is Rs. 8.87/kVAh for all units",Not mentioned in the document,DS-I Rural (Metered): Rs. 60/kW or part/month
Brihmanmumbai_Electric_Supply_Company,Rs. 1.69 to 1.83,Rs. 1.69 to 1.83,Rs. 4.32 to 4.46,Rs. 4.32 to 4.46,Rs. 4.32 to 4.46,Rs. 4.32 to 4.46,Rs. 7.16 to 7.34,Rs. 7.16 to 7.34,Rs. 7.16 to 7.34,Rs. 7.16 to 7.34,Rs. 8.72 to 8.91,"HT VI (High Tension for EV) category and LT VI (Low Tension for EV) category both have a fixed charge of Rs. 70 per KVA, with energy charges ranging around Rs. 4.04 to 5.04 per kWh","From 1800 to 2200 hours: Rs. 1.00 per kWh (additional charge), From 2200 to 0600 hours: Rs. -0.75 per kWh (discount), From 0600 to 0900 hours: Rs. 0.00 per kWh, From 0900 to 1200 hours: Rs. 0.50 per kWh, From 1200 to 1800 hours: Rs. 0.00 per kWh","For Residential (BPL): Fixed Charge: Rs. 10, Energy Charges: Rs. 1.33 per kWh"
Tata_Power_Delhi_Distribution_Limited,3.00 Rs./kWh,3.00 Rs./kWh,3.00 Rs./kWh,3.00 Rs./kWh,4.50 Rs./kWh,4.50 Rs./kWh,6.50 Rs./kWh,6.50 Rs./kWh,6.50 Rs./kWh,6.50 Rs./kWh,"7.00 Rs./kWh for 501-800 units, 8.00 Rs./kWh for 801+ units","Charging stations for E-Rickshaw/E-Vehicle on Single Point Delivery: Supply at LT: 4.50 Rs./kWh, Supply at HT: 4.00 Rs./kVAh","The ToD tariff is applicable for all consumers (other than Domestic) whose sanctioned load/MDI (whichever is higher) is 10kW/11kVA and above. It is optional for other three-phase connections, including Domestic connections. Peak hours have a 20% surcharge and Off-peak hours a 20% rebate. Peak hours are defined as 1400–1700 & 2200 – 0100, and Off-peak hours as 0400 – 1000 from May to September","Fixed Charges: Upto 2 kW: 20 Rs./kW/month, >2 kW and ≤5 kW: 50 Rs./kW/month, >5 kW and ≤15 kW: 100 Rs./kW/month, >15 kW and ≤25 kW: 200 Rs./kW/month, >25 kW: 250 Rs./kW/month"
Purvanchal_Vidyut_Vitran_Nigam_Ltd.,Rs. 6.65 per kWh,Rs. 6.65 per kWh,Rs. 6.85 per kWh,Rs. 6.85 per kWh,Rs. 6.85 per kWh,Rs. 6.85 per kWh,Rs. 6.85 per kWh,Rs. 6.85 per kWh,Rs. 6.85 per kWh,Rs. 6.85 per kWh,Rs. 6.85 per kWh,"Existing consumer categories such as LMV-1, LMV-2, LMV-4, etc., may use their current electricity connection for charging EVs. If the EV charging requires more power, consumers can apply for an increased sanctioned load.","For small and medium power consumers, different ToD tariffs apply in summer and winter months. Summer (April to September): 05:00-10:00 hrs: -15%, 10:00-19:00 hrs: 0%, 19:00-03:00 hrs: +15%, 03:00-05:00 hrs: 0%. Winter (October to March): 05:00-11:00 hrs: 0%, 11:00-17:00 hrs: 0%, 17:00-23:00 hrs: +15%, 23:00-05:00 hrs: -15%.",Lifeline Consumers with a contracted load of 1 kW and energy consumption up to 100 kWh/month have a Fixed Charge of Rs. 50 per kW per month and Energy Charge of Rs. 6.50 per kWh. Bulk Loads have a Fixed Charge of Rs. 110 per kW per month and Energy Charge of Rs. 7.00 per kWh.
Kanpur_Electricity_Supply_Company,₹6.85 per kWh,₹6.85 per kWh,₹6.85 per kWh,₹6.85 per kWh,₹6.85 per kWh,₹6.85 per kWh,₹6.85 per kWh,₹6.85 per kWh,₹6.85 per kWh,₹6.85 per kWh,₹6.85 per kWh,"Public Charging Stations and State Road Transport EV Charging Stations: EV Charging Station LT: Energy charge of ₹7.70 per kWh, EV Charging Station HT: Energy charge of ₹7.30 per kWh","Summer Months (April to September): 05:00 hrs–10:00 hrs: (-) 15%, 10:00 hrs–19:00 hrs: No percentage, 19:00 hrs–03:00 hrs: (+) 15%, 03:00 hrs–05:00 hrs: No percentage. Winter Months (October to March): 05:00 hrs–11:00 hrs: No percentage, 11:00 hrs–17:00 hrs: No percentage, 17:00 hrs–23:00 hrs: (+) 15%, 23:00 hrs–05:00 hrs: (-) 15%",Fixed Charge: ₹110 per kW per month
"Electricity_Department,_UT_of_Daman_&_Diu",INR 1.60 per kWh,INR 1.60 per kWh,INR 2.30 per kWh,INR 2.30 per kWh,INR 2.80 per kWh,INR 2.80 per kWh,INR 2.80 per kWh,INR 2.80 per kWh,INR 3.40 per kWh,INR 3.40 per kWh,INR 3.40 per kWh,"LT Category: INR 5.10 per kVAh, HT Category: INR 4.90 per kVAh",No specific mention of Time of Day tariffs,Life Line Consumers (up to 2x40 W bulbs only): INR 1.00 per kWh
Dadra_&_Nagar_Haveli_Power_Distribution_Corporation_Ltd,1.60 INR/kWh,1.60 INR/kWh,2.30 INR/kWh,2.30 INR/kWh,2.80 INR/kWh,2.80 INR/kWh,2.80 INR/kWh,2.80 INR/kWh,3.40 INR/kWh,3.40 INR/kWh,3.40 INR/kWh,"LT Category: 5.10 INR/kVAh, HT Category: 4.90 INR/kVAh",No specific mention of 'Time of Day' tariffs,None
Maharashtra_Adani_Electric,Rs. 3.15 per kWh,Rs. 3.15 per kWh,Rs. 5.40 per kWh,Rs. 5.40 per kWh,Rs. 5.40 per kWh,Rs. 5.40 per kWh,Rs. 7.10 per kWh,Rs. 7.10 per kWh,Rs. 7.10 per kWh,Rs. 7.10 per kWh,Rs. 8.15 per kWh,A fixed charge of Rs. 80 per kVA per month and an energy charge of Rs. 5.15 per kWh,"0600 hours to 0900 hours: 0.00, 0900 hours to 1200 hours: 0.50, 1200 hours to 1800 hours: 0.00, 1800 hours to 2200 hours: 1.00, 2200 hours to 0600 hours: -0.75","Fixed charges are applicable for different consumption slabs: 0-100 units: Rs. 90 per month, 101-300 units: Rs. 135 per month, above 500 units: Rs. 160 per month"
New_Delhi_Municipal_Corporation,INR 3.00/kWh,INR 3.00/kWh,INR 3.00/kWh,INR 3.00/kWh,INR 4.50/kWh,INR 4.50/kWh,INR 6.50/kWh,INR 6.50/kWh,INR 7.00/kWh,INR 7.00/kWh,INR 8.00/kWh,"Charging Stations for E-Rickshaw/E-Vehicle: Supply at LT: INR 4.50/kWh, Supply at HT: INR 4.00/kVAh","ToD tariff is applicable on all consumers (other than Domestic) with a sanctioned Load/MDI of 10kW/11kVA and above. It is optional for other three-phase connections, including domestic connections. The surcharge during peak hours is 20% and a rebate during off-peak hours is also 20%",Fixed Charges for individual domestic connections up to 2 kW: INR 20/kW/month
